front,back,hint,publishedAt
"illallinen","dinner","Meillä on illallinen kello seitsemän.","2026-01-16T14:26:46.734Z"
"aurinkoinen","sunny","Tänään on aurinkoinen päivä.","2025-12-15T05:58:55.150Z"
"maisema","landscape","Suomessa on kauniita maisemia.","2026-01-14T05:39:10.176Z"
"koristella","to decorate","Me koristelimme joulukuusen yhdessä.","2026-01-18T16:48:59.495Z"
"tentti","exam","Tentti oli vaikea, mutta suoriuduin hyvin.","2026-01-15T11:29:28.083Z"
"kuljetus","transport","Kuljetus kaupungissa voi olla erittäin ruuhkainen ruuhka-aikana.","2026-01-11T19:04:31.178Z"
"näkkileipä","crispbread","Syön aamiaiseksi näkkileipää juuston kanssa.","2026-01-18T08:50:31.218Z"
"siisti","tidy","Se on siisti auto!","2025-12-12T19:19:58.467Z"
"pulla","bun","Me leivomme pullaa tänään.","2025-12-12T19:20:10.467Z"
"yskä","a cough","Lääkäri sanoi, että yskä voi olla merkki allergioista.","2026-01-11T19:04:20.183Z"
"vastuussa","responsible","Vanhemmat ovat vastuussa lasten kasvatuksesta.","2026-01-19T05:13:47.551Z"
"sijoitus","investment","Omistusasunto on hyvä sijoitus tulevaisuutta varten.","2026-01-17T07:46:52.030Z"
"kassa","cashier","Ostin tämän tuotteen kassan kautta.","2026-01-18T16:31:45.210Z"
"ratkaista","to solve","Meidän täytyy ratkaista tämä ongelma nopeasti.","2026-01-12T11:57:50.130Z"
"pitää","keep / maintain / consider / like","Minä pidän jäätelöstä.","2025-11-30T15:02:31.682Z"
"virheen","error","Voitko korjata tämän virheen?","2026-01-15T10:48:42.789Z"
"houkutteleva","attractive","Hän on todella houkutteleva henkilö.","2026-01-17T07:48:35.916Z"
"keskustella","to debate","Me haluamme keskustella tästä asiasta.","2025-12-12T19:18:41.899Z"
"ennen / jälkeen","before / after","Menin kouluun ennen kello kahdeksaa.","2026-01-13T19:14:30.932Z"
"juhlia","celebrate","Haluatko juhlia valmistujaisiasi kanssani?","2025-12-12T19:18:41.482Z"
"puoli viideltä","4.30 p.m.","Tapaan sinut puoli viideltä koulun edessä.","2025-12-12T19:19:01.454Z"
"kartta","map","Missä on lähin kartta?","2026-01-16T10:32:44.797Z"
"yritys","an attempt","Tein yrityksen ratkaista palapelin.","2026-01-11T19:04:27.808Z"
"harmaa","grey","Hänellä on harmaa takki.","2025-12-09T11:00:00.839Z"
"tulisi (tulla)","would come","Auto tulisi huoltaa säännöllisesti.","2026-01-25T16:58:30.215Z"
"kasvatus","upbringing","Hyvä kasvatus on tärkeää lapsen kehitykselle.","2026-01-19T05:16:20.502Z"
"alakerta","downstairs","Kirjasto sijaitsee alakerrassa.","2025-12-12T19:20:08.482Z"
"aukioloajat","opening hours","Mitkä ovat kaupan aukioloajat?","2025-12-12T19:20:29.649Z"
"taide","art","Minä rakastan taidetta.","2026-01-13T14:15:06.936Z"
"jääkaappi","refrigerator","Keittokomerossa on jääkaappi ja liesi.","2026-01-18T09:02:13.110Z"
"mielipide","an opinion","Mielestäni kesä on vuoden paras vuodenaika.","2026-01-11T19:03:36.075Z"
"viimeisenä","lastly","Hän tuli viimeisenä luokkaan.","2026-01-21T07:56:34.139Z"
"aikataulu","schedule","Missä on junan aikataulu?","2026-01-25T15:00:50.897Z"
"liitutaulu","chalkboard","Opettaja kirjoitti laskutehtävän liitutaululle.","2026-01-25T16:57:35.578Z"
"lasten","children","Lasten leikit ovat hauskoja.","2026-01-22T10:30:50.129Z"
"kiireistä","busy","Arki on usein kiireistä.","2026-01-15T10:48:12.979Z"
"sotkuinen","messy","Huoneeni on sotkuinen.","2025-12-12T19:19:58.515Z"
"sana","word","Voitko sanoa tämän sanan uudelleen?","2026-01-22T11:18:47.970Z"
"ero","difference","Meidän välillä on suuri ero.","2026-01-26T08:42:08.238Z"
"parveke","balcony","Parvekkeella on paljon kukkia ja kasveja.","2025-12-12T19:19:17.197Z"
"komea","handsome","Tämä on komea rakennus.","2025-12-09T11:00:11.549Z"
"tiskata","do the dishes","Minä tiskaan astiat illallisen jälkeen.","2025-12-12T19:18:53.684Z"
"nätti","Pretty","Tämä kukka on niin nätti.","2025-11-30T15:02:47.738Z"
"ottaisin","I'll take","Ottaaisin sen kirjan, jos se olisi saatavilla.","2025-12-09T11:00:30.399Z"
"loppua","end of","Elokuvan loppua on todella jännittävä.","2024-11-27T21:22:53.449Z"
"sata","sata","Hän on sata vuotta vanha.","2024-10-27T20:17:42.913Z"
"tuhat","thousand","Minulla on tuhat euroa.","2024-10-27T20:18:22.412Z"
"söpö","Cute","Hänellä on söpö hattu.","2025-11-30T15:02:29.540Z"
"Talvi","Winter","Talvi tuo mukanaan paljon lunta.","2025-11-30T15:01:58.825Z"
"keittiö","kitchen","Minun keittiössäni on uusi jääkaappi.","2025-04-03T06:20:45.818Z"
"tyttö","girl","Tyttö leikkii puistossa.","2025-11-30T15:02:29.807Z"
"onko sinulla","do you have","Onko sinulla koira?","2025-11-30T15:01:35.269Z"
"opiskelija","student","Hän on opiskelija yliopistossa.","2024-11-27T21:23:16.842Z"
"ensi","next","Ensi viikolla on juhlat.","2025-11-30T15:02:23.752Z"
"aste","degree","Veden lämpötila on 20 astetta.","2024-11-07T05:29:09.701Z"
"perjantai","Friday","Perjantai on paras päivä viikossa!","2024-10-22T19:07:29.363Z"
"sentti","cent","Ostin omenan, joka maksoi kaksi senttiä.","2025-11-30T15:00:29.094Z"
"paita","shirt","Hänellä on sininen paita päällä.","2025-12-09T11:01:08.478Z"
"silmät","eyes","Hänen silmät ovat kauniit.","2025-11-30T15:02:46.869Z"
"vihainen","angry","Vihainen koira haukkuu pihalla.","2025-11-30T15:02:41.822Z"
"kauppa","shop","Kauppa on auki kello kymmenen asti.","2025-11-30T15:02:39.900Z"
"kaksikymmentä","twenty","Minulla on kaksikymmentä omenaa.","2024-10-27T20:16:23.078Z"
"kurssisihteeri","course secretary","Kurssisihteeri lähettää opiskelijoille tiedotukset.","2025-11-30T15:02:10.620Z"
"uimahousut","Swimming trunks","Hänellä on uimahousut päällä uima-altaassa.","2025-12-09T11:01:10.112Z"
"Skool!","cheers!","","2024-10-22T19:02:12.264Z"
"lomake","form","Voit täyttää lomakkeen verkossa.","2025-11-30T15:02:17.774Z"
"nauraa","laugh","Hän nauraa vitsille.","2024-11-27T21:25:25.130Z"
"yhteensä","total","Meillä on yhteensä kymmenen omenaa.","2025-04-03T06:17:34.162Z"
"niin","so","Hän on niin taitava, että voittaa aina.","2025-11-30T15:01:20.110Z"
"myös","also","Minä pidän jäätelöstä, ja sinä myös.","2024-11-27T21:27:46.579Z"
"tuletko","are you coming","Tuletko elokuviin kanssani?","2025-11-30T15:00:09.051Z"
"sinun","your","Onko tämä sinun kirja?","2025-11-30T15:02:16.476Z"
"minulla ei ole","I do not have","Minulla ei ole aikaa.","2025-11-30T15:02:30.335Z"
"viikko","week","Viikko alkaa maanantaina.","2024-10-22T19:05:03.062Z"
"henkilötunnus","personal identification number","Minun henkilötunnukseni on 123456-7890.","2025-11-30T15:02:25.344Z"
"Ei se mitään!","It's nothing, No problem, It's OK!","","2024-10-22T19:01:16.491Z"
"aikaa","time, start","Minulla on vielä aikaa.","2025-11-30T15:02:11.443Z"
"puhelin","telephone","Minulla on uusi puhelin.","2025-11-30T15:02:26.145Z"
"viisimiljardi","five billion","","2024-10-27T20:19:44.992Z"
"serkku","cousin","Serkkuni tulee kylään ensi viikolla.","2025-11-30T15:02:37.659Z"
"paljon","a lot","Minulla on paljon ystäviä.","2025-11-30T15:01:52.450Z"
"yksi","one","Yksi, kaksi, kolme, neljä.","2024-10-27T20:11:36.767Z"
"kiitti","thanks","","2025-04-03T06:18:09.830Z"
"postinumero","postal code","Voisitko kertoa minulle postinumerosi?","2025-11-30T15:02:25.887Z"
"syyskuu","September","Syyskuu on syksyn ensimmäinen kuukausi.","2025-11-30T15:02:05.663Z"
"terve!","Hello!","","2024-10-22T18:57:08.760Z"
"vaate","garment","Minulla on uusi vaate.","2025-12-09T11:01:08.059Z"
"surullinen","sad","Elokuvan loppu oli todella surullinen.","2025-11-30T15:02:40.872Z"
"On aurinkoista","It's sunny","Huomenna on aurinkoista, mennään ulos!","2025-11-30T15:01:55.456Z"
"kortti","card","Minulla on uusi pankkikortti.","2025-04-03T06:17:47.537Z"
"pari","couple","Minulla on pari ystävää, jotka tulevat tänään.","2025-11-30T15:02:13.261Z"
"kanssa","with","Minä menen elokuviin ystäväni kanssa.","2025-11-30T15:02:28.497Z"
"minus","minus","Matematiikassa viisi miinus kolme on kaksi.","2024-11-07T05:30:29.831Z"
"hitaammin","slower","Voisitko puhua hitaammin?","2025-11-30T15:02:24.136Z"
"paikka","location","Missä on hyvä paikka istua?","2025-11-28T15:41:35.577Z"
"kuusitoista","sixteen","Kuusitoista on suurempi kuin viisitoista.","2024-10-27T20:15:34.599Z"
"seuraava","Next","Seuraava bussi tulee kymmeneltä.","2025-11-30T15:02:11.327Z"
"sukunimi","surname","Minun sukunimeni on Virtanen.","2024-10-21T17:56:32.002Z"
"miljardi","billion","Suomessa on yli miljardi puuta.","2024-10-27T20:19:35.474Z"
"plus","plus","2 plus 2 on neljä.","2024-11-07T05:30:18.951Z"
"Kiitos avusta","Thank you for your help","Opettaja, kiitos avusta projektissani.","2025-11-30T15:02:22.316Z"
"meillä","we have","Voit tulla meille leikkimään.","2025-11-30T15:02:40.112Z"
"On pilvistä","It's cloudy","Huomenna on pilvistä ja saattaa sataa.","2025-11-30T15:01:55.754Z"
"jossa","where, in which","Olen kaupungissa, jossa on paljon nähtävää.","2025-11-30T15:02:21.361Z"
"minkänäköinen","what's it look like","Minkänäköinen on uusi opettaja?","2025-11-30T15:02:43.222Z"
"meillä on","we have","Meillä on paljon ystäviä.","2025-11-30T15:02:29.013Z"
"setä","uncle","Setäni asuu Helsingissä.","2025-11-30T15:02:37.496Z"
"taso","level","Olen saavuttanut uuden tason pelissä.","2025-11-30T15:02:11.261Z"
"On tuulista","It's windy","Kesällä on usein tuulista merellä.","2025-11-30T15:01:57.730Z"
"kemia","chemistry","Kemia on mielenkiintoinen aine koulussa.","2024-11-07T05:34:36.552Z"
"monta","many","Meillä on monta ystävää.","2025-11-30T15:01:53.080Z"
"vapaa","free","Olen tänään vapaa.","2025-11-28T15:41:42.761Z"
"Mitä kuuluu?","How are you?","Mitä kuuluu, Anna?","2024-10-21T17:53:39.215Z"
"ihan hyvää, kiitos.","quite good, thank you.","","2024-10-21T17:55:23.221Z"
"kylmä","cold","Ulkona on kylmä.","2025-11-30T15:01:49.279Z"
"Ai jaa!","Oh yeah!","Ai jaa! Se selittää paljon.","2024-11-27T21:27:10.196Z"
"pohjois","north","Me matkustamme pohjoiseen kesällä.","2024-11-27T21:29:38.605Z"
"seteli","a bill, پول کاغذی","Minulla on kymmenen euron seteli.","2025-04-03T06:19:20.271Z"
"Iltaa","Evening","","2025-11-28T15:42:50.858Z"
"kuusi","Six","Minulla on kuusi omenaa.","2024-10-27T20:11:58.966Z"
"On sumuista","It's foggy","Kun on sumuista, on vaikeaa nähdä kauas.","2025-11-30T15:01:56.338Z"
"rakastaa","love","Hän rakastaa musiikkia.","2025-11-30T15:02:28.753Z"
"huhtikuu","April","Huhtikuussa sataa usein lunta.","2025-11-30T15:02:03.363Z"
"vanha","old","Hän on vanha ystäväni.","2025-11-30T15:01:50.634Z"
"hetkinen","just a moment","Hetkinen, minä tarkistan asian.","2025-11-30T15:02:12.496Z"
"jätski","ice cream","Haluatko jätskiä tänään?","2025-04-03T06:15:40.554Z"
"On pakkastaa","It's freezing","","2025-11-30T15:01:53.981Z"
"naapuri","neighbour","Naapurini on todella ystävällinen.","2025-04-03T06:13:23.441Z"
"isoveli","big brother","Isoveli auttaa minua aina koulutehtävissä.","2025-11-30T15:02:36.912Z"
"kesäkuu","June","Kesäkuussa on paljon festivaaleja.","2025-11-30T15:02:04.759Z"
"vähän","little","Minulla on vähän aikaa.","2025-04-03T06:11:26.366Z"
"viisitoista","fifteen","Ostin viisitoista omenaa kaupasta.","2024-10-27T20:15:22.758Z"
"kuitti","receipt","Voitko antaa minulle kuitin ostoksestasi?","2025-04-03T06:18:00.033Z"
"syntymäpäivä","birthday","Me juhlimme hänen syntymäpäiväänsä lauantaina.","2025-11-30T15:02:27.193Z"
"työ","job","Minulla on paljon työtä tänään.","2025-11-30T15:02:26.402Z"
"kolmekymmentä","thirty","Minä olen kolmekymmentä vuotta vanha.","2024-10-27T20:17:06.840Z"
"kahdeksantoista","eighteen","Ostin kahdeksantoista omenaa kaupasta.","2024-10-27T20:15:57.954Z"
"ilmoittautuminen","registration","Ilmoittautuminen kurssille alkaa ensi viikolla.","2025-11-30T15:02:22.818Z"
"suomen kurssi","Finnish course","Minä olen ilmoittautunut suomen kurssille.","2024-10-21T17:50:43.474Z"
"tänään","today","Tänään on kaunis sää.","2024-10-22T19:09:25.527Z"
"siellä","there","Siellä on kaunis puisto.","2025-11-30T15:02:13.014Z"
"biologia","biology","Biologia on tärkeä aine koulussa.","2024-11-07T05:35:04.890Z"
"syntymäpaikka","place of birth","Minun syntymäpaikkani on Helsinki.","2025-11-30T15:02:27.482Z"
"kymmenen","ten","Minulla on kymmenen omenaa.","2024-10-27T20:13:09.346Z"
"viikonpäivät","days of the week","","2024-10-22T19:05:52.356Z"
"samoin","similarly","kiitos samoin!","2024-10-21T17:53:23.771Z"
"lauantai","Saturday","Minä pidän lauantai-aamuista.","2024-10-22T19:07:44.820Z"
"viisisataatuhatta","five hundred thousand","Suomessa asuu viisisataatuhatta ihmistä.","2024-10-27T20:18:59.670Z"
"naapurimaa","neighbouring country","","2025-04-03T06:13:48.665Z"
"kolikko","Coin","Minulla on kolme kolikkoa taskussani.","2025-04-03T06:19:37.389Z"
"kippis","Cheers","Kippis, ystävät!","2024-10-22T19:01:34.439Z"
"totta","true","Se on totta.","2024-11-27T21:28:27.025Z"
"kolmetoista","thirteen","Minulla on kolmetoista omenaa.","2024-10-27T20:15:01.622Z"
"kaksisataa","two hundred","Minulla on kaksisataa euroa.","2024-10-27T20:18:03.722Z"
"kurssipäivä","Course date","Meillä on kurssipäivä huomenna.","2024-10-21T18:02:59.577Z"
"maanantai","Monday","Maanantai on aina niin vaikea päivä.","2024-10-22T19:06:24.581Z"
"vapa","free","Onko tämä paikka vapaa?","2024-10-21T17:51:25.975Z"
"Ole hyvä!","Here you go!","Ole hyvä!  kiitos!","2024-10-22T18:59:33.806Z"
"hinta","Price","Kuinka paljon tämä tuote maksaa?","2025-11-30T15:00:22.963Z"
"suklaa","chocolate","Minä rakastan suklaata.","2025-04-03T06:16:38.974Z"
"etunimi","first name","Minun etunimeni on Anna.","2024-10-21T17:56:22.871Z"
"päivää!","hello!","hyvää päivää!","2024-10-21T18:04:57.288Z"
"huomenna","tomorrow","Huomenna on syntymäpäiväni.","2024-10-22T19:10:10.684Z"
"miten se kirjoitetaan?","how do you spell it?","Mitkä ovat sanat, ja miten ne kirjoitetaan?","2024-10-21T17:56:14.118Z"
"nuku hyvin!","sleep well!","","2024-10-21T18:06:24.162Z"
"kuka sinä olet?","who are you?","Kuka sinä olet, ystävä?","2024-10-21T17:52:18.412Z"
"heippa!","Bye!","","2024-10-22T18:56:58.192Z"
"viikonloppu","weekend","Me menemme mökille viikonloppuna.","2024-10-22T19:08:31.562Z"
"aakkoset","alphabet","Lapset oppivat aakkoset koulussa.","2024-10-22T19:10:43.294Z"
"huomenta","good morning","hyvää huomenta!","2024-10-21T18:04:26.167Z"
"Ei kestä!","No problem! You are welcome!","","2024-10-22T19:00:30.882Z"
"tiistai","Tuesday","Tiistai on hyvä päivä mennä elokuviin.","2024-10-22T19:06:40.163Z"
"kiitos, oli hyvää!","thank you, it was good!","","2024-10-22T19:03:51.842Z"
